Type (Head),Thread,Lenghth,Color (Material),Special icon,Link TME,Link2,Link3,Link spojovaci material,,
,,,,Wago,,,,,,
Spacer,M3,60,in-out Plastic,,,,,,,
Spacer,M3,35,in-out,,,,,,,
Pin,3,30,,,,,,,,
Pin,4,20,,,,,,,,
,,,,Terminals,,,,,,
Terminal,DC 5.5x2.5,,,DC,,,,,,
Blind rivet,4,10,,,,,,,,
Drill Insert,3.1,,,,,,,,,
,AP64501,,,,,,,,,
,Resistor,,,,,,,,,
,Capacitor,,,,,,,,,
,Diode,,,,,,,,,
Male,XT90,,,XT,,,,,,
Bearing,4,16,,,,,,,,
,Switch,,,,,,,,,
,Arduino,,,,,,,,,
,Magnet,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
silicon cable ,16awg,,,,https://www.bighobby.cz/silikonovy-kabel-16awg--1-29mm--red/,,,,,
IPEX-SMA-150 ONTECK - Kabel,,,,,https://www.tme.eu/cz/details/ipex-sma-150/propojovaci-koaxialni-kabely/onteck/,,,,,https://cz.mouser.com/ProductDetail/Adam-Tech/CA-DKCA1-305L0-AJI5?qs=HoCaDK9Nz5dE6qysq5UhYQ%3D%3D
Screw,M3,8,černý půlkulatý,,https://www.caxtool.com/cz/sroub-imbus-pulkulata-hlava-m3x8-cerny,,,,,
Screw ,M3,20,černý půlkulatý,,https://www.caxtool.com/cz/sroub-imbus-pulkulata-hlava-m3x20-cerny?srsltid=AfmBOookNpRDl-gSNA7hpFjwLdH0B7y7Fq2FEONucVWGQefXTZZmtj2l,,,,,
Screw ,M3,10,černý pnebo normální půlkulatý,,https://www.caxtool.com/cz/sroub-imbus-pulkulata-hlava-m3x10-cerny,,,,,
Screw,M3,30,zapuštěný černý nebo normální ,,https://www.tme.eu/cz/details/k3x30-iso10642-a2/srouby/kraftberg/,,,,,
Screw,M3,10,zapuštěný černý,,https://www.tme.eu/cz/details/b3x10_bn2107/srouby/bossard/9011940/,,,,https://www.tme.eu/cz/details/b3x10_bn2110/srouby/bossard/9012082/,
,,,,,,,,,,
Screw,"M2,5",10,zapuštěný černý,,https://www.tme.eu/cz/details/b2.5x10_bn20/srouby/bossard/1480294/,,,,,
,,,,,,,,,,
Screw,M2,20,černý,,,,,,,
